text,head,count
bien,aime,5
aime,homme,5
veux,homme,4
enjeu,aime,3
amoureux,tombé,3
genre,enjeu,3
nommer,veux,2
genre,aime,2
bien,veux,2
jeu,genre,2
vouloir,veut,2
tomber,assomme,1
newton,veux,1
ville,cachet,1
papa,nomme,1
ouvrir,lettre,1
orthograph,fautes,1
nonne,aime,1
ébat,assumer,1
nombril,sait,1
mètre,homme,1
tact,aurais,1
mois,a,1
matin,étais,1
marguerite,jolies,1
manuscrit,courbes,1
manche,ville,1
manche,surplombait,1
manche,saisi,1
maladress,erreur,1
paraphe,dyslexie,1
parfum,erreur,1
patient,faudra,1
petit,blonde,1
tomber,homme,1
tomber,nonnes,1
surplomber,tombé,1
suicidaire,patient,1
sexy,blonde,1
saisir,reconnue,1
rouge,mois,1
rer,écrit,1
regard,reconnue,1
reconnaître,tombé,1
recevoir,reçu,1
profil,regard,1
prendre,ra,1
poste,cachet,1
lèvre,carmin,1
petit,ingénue,1
petit,habitant,1
léger,dyslexie,1
abbaye,veut,1
lettre,reçu,1
lettre,dû,1
désert,choisira,1
dyslexie,orthographe,1
dimanche,ra,1
dimanche,matin,1
devoir,reçu,1
courbe,i,1
choisir,écrit,1
carmin,rouge,1
cachet,amoureux,1
blonde,«,1
blonde,suicidaires,1
battr,veux,1
avoir,hypothèse,1
aurai,carmin,1
assumer,aurais,1
assomm,veux,1
asperger,erreur,1
arriver,mois,1
alphonse,nomme,1
endroit,dimanche,1
erreur,arrivée,1
facteur,erreur,1
homme,désert,1
jolie,veut,1
aime,aime,1
ingénue,saisi,1
impact,choisira,1
hypothèse,hanches,1
homme,veut,1
homme,impact,1
homme,homme,1
homme,aime,1
falaise,ra,1
haut,jolies,1
hanche,prise,1
habitant,sait,1
guise,dyslexie,1
grâce,cachet,1
fred,alphonse,1
faute,abbayes,1
falloir,désert,1
écrire,aime,1
